variable;unit;min;max;definition
Emissions|Sulfur|Other;Mt SO2/yr;;;Sulfur (SO2) emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|VOC;Mt VOC/yr;;;total volatile organic compound (VOC) emissions
Emissions|VOC|AFOLU;Mt VOC/yr;;;Land Use based Volatile Organic Compounds Emissions
Emissions|VOC|Energy;Mt VOC/yr;;;Volatile Organic Compounds emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)
Emissions|VOC|Energy|Demand|industry;Mt VOC/yr;;;Volatile Organic Compounds Emissions from Combustion in industry (IPCC 1A2) and industrial processes  (IPCC 2C1-2C5)
Emissions|VOC|Energy|Demand|Residential and Commercial;Mt VOC/yr;;;Volatile Organic Compounds Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,  1A4B)
Emissions|VOC|Energy|Demand|Transportation;Mt VOC/yr;;;Volatile Organic Compounds Emissions from Combustion in Transportation Sector (IPCC category 1A3)
Emissions|VOC|Energy|Supply;Mt VOC/yr;;;Volatile Organic Compounds Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B), Electricity production and distribution,  district heating and other energy conversion (e.g. refineries, synfuel production)
Emissions|VOC|Other;Mt VOC/yr;;;Volatile Organic Compounds Emissions from other energy end-use sectors that do not fit to any other category (please provide a definition of the sectors in this category in the 'comments' tab)
Employment;million;0;;Number of employed inhabitants (based on ILO classification)
Unemployment;Million;0;;Number of unemployed inhabitants (based on ILO classification)
Unemployment|Rate;%;0;;Fraction of unemployed inhabitants (based on ILO classification)
Employment|Agriculture;Million;0;;Number of employed inhabitants (payrolls) in agriculture (based on ILO classification)
Employment|industry;Million;0;;Number of employed inhabitants (payrolls) in industry (based on ILO classification)
Employment|industry|Energy ;Million;0;;Number of employed inhabitants (payrolls) in energy related industries (based on ILO classification)
Employment|industry|Energy Intensive;Million;0;;Number of employed inhabitants (payrolls) in energy-intensive industry (based on ILO classification)
Employment|industry|Manufacturing;Million;0;;Number of employed inhabitants (payrolls) in manufacturing industries (based on ILO classification)
Employment|Service;Million;0;;Number of employed inhabitants (payrolls) in the service sector (based on ILO classification)
Capacity|Electricity;GW;0;;Total installed (available) capacity of all operating power plants
Capacity|Electricity|Biomass|w/ CCS;GW;0;;Total installed (available) capacity of biomass power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/ CCS|1, ..., Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Biomass|w/o CCS;GW;0;;Total installed (available) capacity of biomass power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Biomass|w/o CCS|1, ..., Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Coal|w/ CCS;GW;0;;Total installed (available) capacity of coal power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/ CCS|1, ..., Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Coal|w/o CCS;GW;0;;Total installed (available) capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Gas|w/ CCS;GW;0;;Total installed (available) capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Gas|w/o CCS;GW;0;;Total installed (available) capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Hydro;GW;0;;Total installed (available) capacity of hydroppower plants. The installed (available) capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Hydro|1, ..., Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Nuclear;GW;0;;Total installed (available) capacity of nuclear power plants. The installed (available) capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Nuclear|1, ..., Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Oil|w/ CCS;GW;0;;Total installed (available) capacity of oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/ CCS|1, ..., Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Oil|w/o CCS;GW;0;;Total installed (available) capacity of oil power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/o CCS|1, ..., Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Solar|CSP;GW;0;;Total installed (available) capacity of concentrating solar power (CSP). The installed (available) capacity of CSP by technology type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|CSP|1, ..., Capacity|Electricity|Solar|CSP|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Solar|PV;GW;0;;Total installed (available) capacity of solar PV power plants. The installed (available) capacity of solar PV power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Solar|PV|1, ..., Capacity|Electricity|Solar|PV|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Wind;GW;0;;Total installed (available) capacity of wind power plants (onshore + offshore). The installed (available) capacity of wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|1, ..., Capacity|Electricity|Wind|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Wind|Offshore;GW;0;;Total installed (available) capacity of offshore wind power plants. The installed (available) capacity of offshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Offshore|1, ..., Capacity|Electricity|Wind|Offshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Electricity|Wind|Onshore;GW;0;;Total installed (available) capacity of onshore wind power plants. The installed (available) capacity of onshore wind power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Wind|Onshore|1, ..., Capacity|Electricity|Wind|Onshore|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Biomass|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass power plants with CCS. The cumulative capacity of CCS biomass power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Biomass|w/ CCS|1, ..., Cumulative Capacity|Electricity|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Biomass|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass power plants without CCS. The cumulative capacity of biomass power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Biomass|w/o CCS|1, ..., Cumulative Capacity|Electricity|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Coal|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of coal power plants with CCS. The cumulative capacity of CCS coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/ CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Coal|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of coal power plants without CCS. The cumulative capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Coal|w/o CCS|1, ..., Cumulative Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Gas|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of gas power plants with CCS. The cumulative capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/ CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Gas|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of gas power plants without CCS. The cumulative capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Gas|w/o CCS|1, ..., Cumulative Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Hydro;GW;0;;Cumulative installed capacity (since 2005) of hydropower plants. The cumulative capacity of hydropower plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Hydro|1, ..., Cumulative Capacity|Electricity|Hydro|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Nuclear;GW;0;;Cumulative installed capacity (since 2005) of nuclear power plants. The cumulative capacity of nuclear power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Nuclear|1, ..., Cumulative Capacity|Electricity|Nuclear|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Oil|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of oil power plants with CCS. The cumulative capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/ CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
